timestep,avg_speed,congestion_fraction
0,22.983515,0.679000
1,22.062863,0.714000
2,20.998371,0.746000
3,20.229160,0.767000
4,19.245430,0.798000
5,18.689281,0.811000
6,18.832810,0.817000
7,18.638492,0.836000
8,18.294602,0.854000
9,18.293679,0.849000
10,18.463904,0.853000
11,18.683216,0.856000
12,18.727195,0.864000
13,18.935961,0.854000
14,19.239410,0.837000
15,19.657623,0.825000
16,19.898057,0.817000
17,20.321047,0.804000
18,20.678737,0.786000
19,20.860064,0.788000
20,21.082009,0.772000
21,21.276985,0.760000
22,21.343427,0.752000
23,21.257691,0.760000
24,21.217649,0.760000
25,21.475786,0.746000
26,21.232217,0.747000
27,21.474562,0.738000
28,21.533680,0.747000
29,21.465189,0.749000
30,21.576616,0.740000
31,21.294602,0.735000
32,21.503455,0.726000
33,21.486087,0.723000
34,21.538076,0.731000
35,21.519983,0.742000
36,21.319098,0.737000
37,21.063833,0.748000
38,21.226062,0.752000
39,21.294489,0.748000
40,21.346922,0.737000
41,21.188041,0.742000
42,21.198519,0.729000
43,21.218211,0.739000
44,21.200387,0.735000
45,21.343043,0.736000
46,21.291452,0.751000
47,21.247728,0.745000
48,21.200372,0.756000
49,21.025073,0.749000
50,21.278017,0.739000
51,21.447453,0.736000
52,21.543125,0.744000
53,21.235639,0.745000
54,21.380890,0.743000
55,21.396319,0.744000
56,21.288670,0.749000
57,21.529936,0.744000
58,21.288553,0.761000
59,21.261122,0.760000
60,21.196768,0.758000
61,21.278508,0.743000
62,21.139351,0.743000
63,21.361616,0.736000
64,21.569066,0.734000
65,21.679701,0.729000
66,21.733444,0.730000
67,21.541393,0.734000
68,21.358625,0.745000
69,21.033825,0.752000
70,21.369646,0.738000
71,21.599140,0.736000
72,21.493486,0.733000
73,21.686630,0.734000
74,21.981587,0.731000
75,22.034961,0.729000
76,22.240804,0.714000
77,22.148559,0.701000
78,21.978774,0.719000
79,21.998363,0.721000
80,21.984976,0.714000
81,21.981182,0.717000
82,21.745307,0.725000
83,21.292836,0.738000
84,21.270612,0.740000
85,21.474588,0.742000
86,21.474377,0.737000
87,21.411335,0.734000
88,21.253513,0.741000
89,21.332954,0.730000
90,21.333297,0.725000
91,21.623398,0.719000
92,21.602525,0.718000
93,21.649277,0.716000
94,21.611585,0.712000
95,21.377953,0.720000
96,21.324506,0.720000
97,21.273421,0.730000
98,21.222024,0.736000
99,21.140613,0.729000
100,21.532088,0.723000
101,21.643691,0.731000
102,21.501022,0.739000
103,21.246699,0.744000
104,21.358637,0.736000
105,21.549777,0.725000
106,21.755112,0.716000
107,21.760987,0.717000
108,21.721231,0.718000
109,21.707261,0.717000
110,21.479529,0.714000
111,21.160955,0.732000
112,21.303478,0.729000
113,21.386008,0.726000
114,21.690237,0.715000
115,21.808543,0.714000
116,21.960110,0.704000
117,22.086603,0.714000
118,22.098936,0.716000
119,21.908023,0.724000
120,21.939765,0.725000
121,21.725709,0.715000
122,21.662122,0.719000
123,21.653761,0.724000
124,21.560513,0.724000
125,21.580208,0.724000
126,21.587402,0.721000
127,21.743870,0.716000
128,21.681480,0.731000
129,21.657360,0.721000
130,21.442937,0.735000
131,21.782003,0.725000
132,22.020269,0.716000
133,22.367720,0.699000
134,22.567193,0.712000
135,22.499074,0.702000
136,22.703765,0.700000
137,22.537258,0.708000
138,22.575371,0.705000
139,22.790833,0.695000
140,22.742057,0.693000
141,22.664578,0.691000
142,22.713443,0.703000
143,22.535558,0.705000
144,22.321579,0.707000
145,22.302801,0.709000
146,22.341943,0.706000
147,22.280516,0.712000
148,22.039736,0.720000
149,21.380050,0.734000
150,20.971134,0.745000
151,20.972879,0.746000
152,21.058854,0.743000
153,21.307424,0.739000
154,21.567158,0.736000
155,21.362887,0.731000
156,21.202951,0.739000
157,21.340016,0.738000
158,21.454303,0.732000
159,21.235613,0.736000
160,21.143446,0.735000
161,21.251964,0.730000
162,21.313369,0.729000
163,21.156199,0.742000
164,21.267848,0.735000
165,21.353835,0.743000
166,21.394472,0.748000
167,21.445268,0.753000
168,21.835237,0.737000
169,21.789140,0.736000
170,21.737465,0.735000
171,21.789503,0.730000
172,21.718027,0.730000
173,21.908314,0.717000
174,21.928028,0.720000
175,22.162065,0.709000
176,22.300001,0.713000
177,22.493686,0.713000
178,22.191749,0.719000
179,22.061808,0.718000
180,22.133466,0.716000
181,22.055885,0.711000
182,21.626506,0.712000
183,21.616178,0.719000
184,21.814440,0.709000
185,21.551316,0.721000
186,21.403376,0.713000
187,21.624758,0.716000
188,21.417397,0.726000
189,21.433739,0.721000
190,21.572252,0.718000
191,21.344276,0.718000
192,21.456335,0.725000
193,21.685727,0.725000
194,21.780470,0.714000
195,21.686675,0.720000
196,21.785455,0.720000
197,21.621593,0.734000
198,21.656353,0.731000
199,21.533080,0.735000
200,21.702649,0.720000
201,21.693092,0.731000
202,21.694082,0.731000
203,21.646991,0.726000
204,21.914723,0.723000
205,21.853581,0.722000
206,21.747215,0.723000
207,22.003875,0.711000
208,21.693772,0.720000
209,21.692790,0.720000
210,21.733497,0.718000
211,21.990391,0.716000
212,22.382828,0.699000
213,22.039983,0.711000
214,22.178480,0.712000
215,22.017136,0.707000
216,22.051062,0.707000
217,21.654979,0.716000
218,21.545796,0.720000
219,21.561657,0.725000
220,21.405319,0.724000
221,21.568953,0.717000
222,21.617113,0.720000
223,21.586804,0.728000
224,21.645915,0.721000
225,21.874650,0.714000
226,21.872422,0.709000
227,22.004427,0.710000
228,21.835924,0.720000
229,21.745521,0.706000
230,21.761938,0.715000
231,21.732885,0.722000
232,21.897238,0.728000
233,22.127748,0.720000
234,21.931813,0.732000
235,21.993490,0.729000
236,22.091572,0.724000
237,22.267752,0.728000
238,22.215687,0.723000
239,22.011631,0.721000
240,22.077377,0.710000
241,21.924884,0.715000
242,21.684556,0.722000
243,21.727912,0.718000
244,21.957277,0.724000
245,22.074882,0.721000
246,22.047350,0.712000
247,21.897799,0.716000
248,22.203659,0.719000
249,22.296704,0.715000
250,22.415778,0.716000
251,22.529166,0.712000
252,22.409875,0.716000
253,22.269351,0.713000
254,22.094322,0.707000
255,22.183328,0.706000
256,21.987450,0.714000
257,22.065695,0.722000
258,21.805242,0.726000
259,21.954437,0.720000
260,22.017807,0.729000
261,22.242823,0.716000
262,21.952239,0.711000
263,22.016717,0.715000
264,22.071167,0.720000
265,22.211682,0.721000
266,22.375900,0.713000
267,22.472300,0.710000
268,22.244106,0.703000
269,21.855812,0.722000
270,21.519253,0.737000
271,21.692051,0.733000
272,22.055020,0.731000
273,21.839194,0.735000
274,21.788842,0.727000
275,22.002785,0.729000
276,21.916655,0.732000
277,21.923617,0.732000
278,22.048033,0.720000
279,21.984607,0.718000
280,21.849054,0.730000
281,21.614026,0.732000
282,21.201870,0.743000
283,21.130468,0.741000
284,21.051620,0.740000
285,21.458034,0.732000
286,21.422251,0.735000
287,21.646463,0.720000
288,21.807492,0.720000
